"GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"GO:0065007","biological regulation",2503,2491,2476.73,"2.9e-05"
"GO:0050789","regulation of biological process",2443,2431,2417.36,"6.2e-05"
"GO:0006139","nucleobase-containing compound metabolic...",1544,1539,1527.8,"0.00019"
"GO:0050794","regulation of cellular process",2306,2294,2281.8,"0.00030"
"GO:0048519","negative regulation of biological proces...",1222,1219,1209.18,"0.00033"
"GO:0048523","negative regulation of cellular process",1162,1159,1149.81,"0.00063"
"GO:0060255","regulation of macromolecule metabolic pr...",1293,1289,1279.43,"0.00069"
"GO:0051179","localization",1396,1391,1381.35,"0.00094"
"GO:0090304","nucleic acid metabolic process",1379,1374,1364.53,"0.00111"
"GO:0080090","regulation of primary metabolic process",1215,1211,1202.25,"0.00155"
